District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_bathing_facility_within_the_premises_Total_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity
542,ANDHRA PRADESH,Srikakulam,2703114,1341738,1361376,1495381,857824,637557,255664,125214,130450,166118,81382,84736,1290288,766483,523805,936244,354044,1412826,165317,700833,34479,389659,2666950,9025,18879,193,77,160,106,7724,149554,615432,3988,32280,752752,149684,902436,291793,348354,319244,251521,146721,121213,21031,1499877,1009992,2509869,1423119,747385,528736,3874,180824,5264,19494,64087,18802,294830,6316,297418,332230,18598,21961,548681,178089,146386,610487,68045,28345,1406,13539,1952,1091,3980,511234,533734,199161,282509,2719,10077,3531,17894,394989,107308,1567,179917,85253,42847,86481,129328,118149,464451,224481,121821,85869,9675,187026,506897,66546,7462,8385,811,112,107495,743,1475,803,2278,58,37,95,45,64,109,76,3301
543,ANDHRA PRADESH,Vizianagaram,2344474,1161477,1182997,1238388,707503,530885,247728,121493,126235,235556,114687,120869,1157962,679289,478673,953215,204747,1186512,212285,557254,27469,360954,2299129,16423,17853,380,114,815,183,9577,140361,527736,4453,24128,592458,157056,749514,250446,300057,257468,186576,115144,103591,27041,1240323,1031683,2272006,1206366,666394,451469,20245,168297,5002,28633,61858,13208,236327,7516,278230,265587,16052,17903,443111,242486,131289,514227,68076,60019,729,6188,1403,1019,1608,354119,456712,73701,246172,6785,2591,1015,12979,396943,95138,2588,259205,59276,30854,74473,105327,104907,403386,192867,105612,80085,7807,104524,440182,65254,6261,6993,645,87,84176,613,1306,804,2110,45,65,110,74,114,188,81,3103
544,ANDHRA PRADESH,Visakhapatnam,4290589,2138910,2151679,2568249,1422878,1145371,329486,162873,166613,618500,302905,315595,1889879,1239064,650815,1481139,408740,2400710,322164,578949,54545,934221,4105320,86330,77607,2301,850,2316,286,15579,495389,1010250,45492,124729,718847,660493,1379340,414636,568178,649271,541942,329770,289734,44164,2837695,1418851,4256546,2274553,1245627,716066,54343,297276,46469,181071,241192,39493,561627,71289,666976,657824,56704,24517,881691,679351,577722,817426,287779,75065,2041,22116,8202,4339,7943,446815,504832,81562,319590,62111,5855,9949,79516,494827,384258,1601,634191,145141,54096,144655,198751,214294,786438,380992,191152,129455,11522,247081,868660,92853,8305,9143,717,121,155510,877,2282,2122,4404,563,214,777,278,373,651,611,7319
545,ANDHRA PRADESH,East Godavari,5154296,2569688,2584608,3288577,1716933,1571644,945269,468883,476386,213195,104422,108773,2093681,1545831,547850,1748117,345564,3060615,160407,1122046,57853,753375,4983330,77777,77825,738,413,4149,403,9661,479914,1297273,22411,93784,1199479,406362,1605841,669420,947606,797497,521562,271809,263023,47702,3518619,1524603,5043222,2724328,1478954,948122,2892,779052,25381,113126,232073,65415,614288,34494,821421,732492,52789,46973,869294,869464,800168,1088823,278383,132607,1622,50195,6007,2058,11341,537946,510602,121195,342767,4440,6523,11217,27864,558347,613789,5684,908806,40397,95856,239150,335006,275218,952492,468704,208570,112434,7478,235274,1085890,85895,6477,7007,450,80,228618,1274,2865,1949,4814,189,164,353,195,286,481,290,7211
546,ANDHRA PRADESH,West Godavari,3936966,1964918,1972048,2652389,1379223,1273166,811698,403693,408005,109072,53367,55705,1773112,1199338,573774,1534166,238946,2163854,155275,1061787,33861,522189,3733191,86142,109120,288,209,1578,211,6227,435334,1017568,12050,55613,1007255,248373,1255628,595331,718960,585595,415178,215863,207586,33329,2771842,1028767,3800609,2051513,1127764,755533,2156,605463,14687,70135,182698,56671,478091,19128,648607,578252,43490,46343,645717,720167,694857,836015,207958,97912,1152,30148,3299,1232,9009,355613,307863,20184,126299,264,8333,7707,26637,338966,593261,10333,900503,17816,70587,193110,263697,211052,724609,363280,150277,82492,4982,143553,830550,71679,5319,5684,329,36,167867,1011,2260,1477,3737,131,105,236,126,184,310,193,5485
547,ANDHRA PRADESH,Krishna,4517398,2267375,2250023,3009718,1598959,1410759,871063,435412,435651,132464,66734,65730,2048880,1327299,721581,1744978,303902,2468518,150166,1006976,48444,843294,4023678,307043,145598,1393,863,6320,906,31597,632890,1163932,30438,101450,909292,567042,1476334,618101,692968,630603,531821,312753,328454,54728,3169428,1352499,4521927,2340943,1284630,833959,57866,525079,27969,112568,212111,76037,598166,43264,794346,743696,69493,41217,838939,897201,863417,863382,328243,128403,1359,32758,10038,4774,7302,330056,351479,87080,205072,1490,1097,17143,26322,387804,611878,6592,903992,43371,81004,218150,299154,235751,824868,417156,171961,95350,7885,227575,955030,81787,6370,6886,449,67,183554,1054,2557,2029,4586,270,180,450,218,313,531,364,6983
548,ANDHRA PRADESH,Guntur,4887813,2440521,2447292,2960441,1634726,1325715,957407,476333,481074,247089,125105,121984,2381624,1442370,939254,2106326,275298,2506189,302341,1227956,47436,803891,4217597,559770,89763,764,323,3282,332,15982,648568,1186028,19383,80434,1069877,513113,1582990,736270,845810,674957,453446,246580,221924,30279,3209266,1474349,4683615,2583462,1371811,928462,4078,454586,17424,106907,190079,62229,617321,28457,816849,733133,53583,44968,917356,904201,762845,981115,276073,180459,1292,58852,5982,2660,4774,383630,513287,67710,428749,1299,4238,35872,47242,465404,554667,5833,739450,73453,83026,212589,295615,229537,842985,413160,200288,139120,10111,267760,972992,117838,10388,11313,821,104,185688,1119,2657,1953,4610,196,188,384,222,328,550,317,6981
549,ANDHRA PRADESH,Prakasam,3397448,1714764,1682684,1904435,1107686,796749,787861,397242,390619,151145,76677,74468,1700567,991842,708725,1463508,237059,1696881,280029,889218,42603,488717,3150195,220654,18775,266,97,204,206,7051,290947,763746,6151,43611,873486,214089,1087575,489805,495556,368919,249034,142026,133627,21976,1900943,1218310,3119253,1832695,917391,641707,5655,226045,9071,40847,105940,25076,451056,10365,468022,494689,18557,32095,518496,528518,321332,717208,127205,185711,640,39145,3231,1463,5090,328758,526726,91097,244709,3379,2055,24112,36075,406577,197300,6529,481021,78693,51012,130198,181210,144923,548015,251635,151457,115932,12119,253399,643184,89358,10022,11413,1186,205,113321,855,1845,1128,2973,91,65,156,79,114,193,127,4304
550,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,2963557,1492974,1470583,1832189,1011922,820267,666588,332673,333915,285997,145168,140829,1314561,859880,454681,1076544,238017,1648996,165513,625262,35403,488383,2639737,288378,26202,678,239,2610,146,5567,233623,696024,10201,39583,689137,264376,953513,437438,451130,370710,267243,161031,148394,27865,1863811,940785,2804596,1574713,840448,544022,4374,162980,11661,41899,108096,29524,380926,15387,486148,443579,33129,28228,432631,519318,306095,624970,130421,182478,631,21976,5793,4929,6140,253307,459859,51084,167584,798,1514,14690,18079,326288,338967,1077,529838,56033,50886,124620,175506,145951,510984,243234,121799,79487,6648,107370,581823,64736,6336,7048,608,104,119018,711,1615,1096,2711,103,88,191,104,152,256,156,4024
551,ANDHRA PRADESH,Y.S.R.,2882469,1451777,1430692,1716766,994699,722067,465794,232123,233671,75886,38571,37315,1320404,823886,496518,1079903,240501,1562065,243607,542455,55824,478518,2391231,454108,23281,367,105,751,245,12381,209532,671764,6667,39923,590589,293504,884093,408650,509166,413364,258798,140145,116330,16231,1862684,893657,2756341,1553667,793583,530412,4807,130524,7558,54033,98736,18578,408374,10415,409629,439641,12689,14710,509140,586881,314726,559338,136435,209047,287,106296,6298,4881,7572,116255,370070,4347,82945,1137,2078,13297,16598,374889,238688,86,598146,25759,35964,93139,129103,119726,455759,201211,134822,106666,11608,89559,530163,70984,8397,9509,953,159,92480,678,1588,1174,2762,88,91,179,106,158,264,148,4030
552,ANDHRA PRADESH,Kurnool,4053463,2039227,2014236,2127161,1246369,880792,737945,370215,367730,82831,42052,40779,2029425,1164122,865303,1757520,271905,2024038,310954,1037302,60791,620378,3328380,670737,33165,737,255,2235,434,17520,195001,816721,10081,56478,783853,306982,1090835,521327,672951,466940,271828,152453,115504,19282,2220285,1517933,3738218,2368684,1053618,609027,22134,271815,10622,79714,118153,30605,519103,15373,543044,572406,22698,24332,752035,702120,353289,710444,156505,187708,820,58115,8586,4613,8162,175062,437495,17204,138946,5694,6352,5342,20685,431425,227045,3297,696977,38696,29425,86663,116088,120568,547505,238908,188029,181675,31914,218712,652567,109416,18819,22549,3071,659,92650,1042,2163,1355,3518,108,114,222,134,199,333,185,5301
553,ANDHRA PRADESH,Anantapur,4081148,2064495,2016653,2310960,1338474,972486,583135,292379,290756,154127,78573,75554,2036166,1208544,827622,1679655,356511,2044982,413253,879537,105343,638033,3599372,443456,20463,932,341,1417,309,14858,223016,897970,8606,48299,902997,341431,1244428,462273,720357,582075,331793,162175,144915,23341,2426929,1369069,3795998,2189396,1104565,739612,47575,206433,9915,63528,144214,24039,534408,14470,559461,581087,22640,23899,713663,755971,353948,779195,172680,222718,824,96437,22059,19296,11188,205194,581051,5049,117001,552,469,16086,17308,528245,225275,201,819675,43685,36633,106460,143093,156107,644263,291388,196768,153243,20566,207645,718794,115052,15584,17947,1994,369,109372,969,2252,1605,3857,143,150,293,176,261,437,243,5799
554,ANDHRA PRADESH,Chittoor,4174064,2090204,2083860,2667878,1484794,1183084,785760,389582,396178,159165,79756,79409,1933357,1202223,731134,1669852,263505,2240707,434544,748093,57269,693451,3737588,397870,24129,867,253,1322,358,11677,324406,944555,13763,67087,907970,395900,1303870,522961,770836,673197,548336,265199,246409,36017,3062955,1170993,4233948,2148179,1159053,807430,59402,225856,16296,93489,186568,35378,561188,24934,611465,632803,36237,30849,777100,754648,382377,815953,196720,246488,640,32299,12221,10381,11823,267468,628364,8192,135531,349,548,38931,40322,539408,342011,494,835606,92651,55151,132169,187320,175853,678054,311451,190750,142837,13905,140697,757090,105579,10901,12183,1103,179,147264,1021,2270,1565,3835,261,125,386,157,218,375,307,5926
